timestamp,PAPI_LST_INS,PAPI_L2_DCA,PAPI_L2_DCR,pp0-power,pp1-power,pkg-power,ram-power
20:36:35.811,970,948,125, 0.25, 0.04, 1.57, 0.47
20:36:36.812,973,1187,112, 0.24, 0.00, 1.48, 0.42
20:36:37.813,973,1168,107, 0.22, 0.00, 1.47, 0.43
20:36:38.814,959,996,123, 0.19, 0.00, 1.43, 0.42
20:36:39.815,973,1184,112, 0.21, 0.00, 1.45, 0.42
20:36:40.816,928,917,116, 0.19, 0.00, 1.47, 0.45
20:36:41.816,973,1096,97, 0.20, 0.00, 1.44, 0.42
20:36:42.817,973,1128,104, 0.19, 0.00, 1.44, 0.42
20:36:43.817,973,1170,108, 0.24, 0.00, 1.50, 0.44
20:36:44.818,973,1157,103, 0.18, 0.00, 1.41, 0.42
