timestamp,PAPI_LST_INS,PAPI_L2_DCA,PAPI_L2_DCR,pp0-power,pp1-power,pkg-power,ram-power
20:37:6.758,923,952,124,11.51, 0.03,13.61, 1.51
20:37:7.758,936,1002,138,11.24, 0.00,13.25, 1.36
20:37:8.758,934,973,141,11.60, 0.00,13.66, 1.46
20:37:9.759,919,946,124,11.54, 0.00,13.61, 1.46
20:37:10.759,943,1027,149,11.58, 0.00,13.65, 1.47
20:37:11.760,921,905,126,11.18, 0.00,13.22, 1.37
20:37:12.760,936,976,137,11.68, 0.00,13.76, 1.54
20:37:13.760,948,1069,119,11.49, 0.00,13.56, 1.47
20:37:14.760,955,987,167,10.53, 0.00,12.55, 1.40
20:37:15.760,933,1070,145,11.68, 0.00,13.76, 1.49
