timestamp,PAPI_L3_DCA,PAPI_L3_DCR,pp0-power,pp1-power,pkg-power,ram-power
20:39:42.905,1243,91, 0.27, 0.04, 1.59, 0.48
20:39:43.906,1162,88, 0.23, 0.00, 1.47, 0.44
20:39:44.906,1141,86, 0.22, 0.00, 1.45, 0.42
20:39:45.907,1168,83, 0.20, 0.00, 1.44, 0.43
20:39:46.907,1161,87, 0.21, 0.00, 1.43, 0.44
20:39:47.908,1139,83, 2.24, 0.00, 3.62, 0.57
20:39:48.909,1126,89, 0.21, 0.00, 1.44, 0.42
20:39:49.910,1142,92, 0.21, 0.00, 1.44, 0.43
20:39:50.911,1138,90, 0.18, 0.00, 1.42, 0.43
20:39:51.912,1137,89, 0.19, 0.00, 1.44, 0.45
