timestamp,PAPI_L3_DCA,PAPI_L3_DCR,pp0-power,pp1-power,pkg-power,ram-power
20:40:19.264,982,74,11.47, 0.03,13.52, 1.54
20:40:20.264,1363,103,10.59, 0.00,12.57, 1.44
20:40:21.264,1055,87,10.69, 0.00,12.70, 1.39
20:40:22.264,959,72,11.53, 0.00,13.60, 1.49
20:40:23.264,1176,85,11.58, 0.52,14.35, 2.13
20:40:24.265,1035,79,11.60, 0.01,13.68, 1.50
20:40:25.265,949,71,11.54, 0.01,13.64, 1.52
20:40:26.265,1044,82,11.64, 0.01,13.73, 1.52
20:40:27.266,1004,75,11.60, 0.01,13.69, 1.51
20:40:28.266,1028,73,11.69, 0.01,13.78, 1.50
