timestamp,PAPI_L2_DCW,PAPI_L3_DCW,PAPI_L2_ICH,pp0-power,pp1-power,pkg-power,ram-power
20:42:57.141,14,29,179, 0.35, 0.04, 1.68, 0.49
20:42:58.142,12,30,163, 0.22, 0.01, 1.48, 0.45
20:42:59.143,14,29,146, 0.22, 0.01, 1.51, 0.47
20:43:0.144,14,30,163, 0.20, 0.01, 1.45, 0.44
20:43:1.145,18,28,153, 0.23, 0.01, 1.49, 0.45
20:43:2.146,14,29,157, 0.23, 0.01, 1.50, 0.45
20:43:3.147,14,29,170, 0.22, 0.01, 1.48, 0.45
20:43:4.148,14,29,177, 0.21, 0.01, 1.47, 0.46
20:43:5.149,14,29,145, 0.21, 0.01, 1.46, 0.45
20:43:6.149,12,28,167, 0.21, 0.01, 1.50, 0.47
