timestamp,PAPI_L2_DCW,PAPI_L3_DCW,PAPI_L2_ICH,pp0-power,pp1-power,pkg-power,ram-power
20:43:28.820,28,25,50,11.41, 0.03,13.51, 1.53
20:43:29.820,18,28,130,11.64, 0.00,13.74, 1.50
20:43:30.820,20,29,66,11.68, 0.00,13.76, 1.51
20:43:31.820,22,29,189,11.30, 0.00,13.36, 1.43
20:43:32.820,22,27,76,10.50, 0.00,12.49, 1.29
20:43:33.821,22,30,87,10.98, 0.00,13.03, 1.44
20:43:34.821,22,31,125,10.66, 0.00,12.71, 1.39
20:43:35.821,18,29,150,10.69, 0.00,12.73, 1.40
20:43:36.821,22,32,132,11.15, 0.00,13.22, 1.51
20:43:37.822,18,30,28,11.56, 0.00,13.64, 1.51
