timestamp,PAPI_L2_ICA,PAPI_L3_ICA,PAPI_L2_ICR,PAPI_L3_ICR,pp0-power,pp1-power,pkg-power,ram-power
20:44:35.195,777,653,777,653, 0.25, 0.06, 1.67, 0.48
20:44:36.196,1080,896,1080,896, 0.23, 0.00, 1.53, 0.42
20:44:37.196,1092,884,1092,884, 0.20, 0.00, 1.50, 0.42
20:44:38.197,1085,906,1085,906, 0.23, 0.00, 1.54, 0.42
20:44:39.198,1082,904,1082,904, 0.20, 0.00, 1.50, 0.42
20:44:40.201,1059,881,1059,881, 0.19, 0.00, 1.51, 0.42
20:44:41.202,1069,887,1069,887, 0.20, 0.00, 1.53, 0.44
20:44:42.203,1065,898,1065,898, 0.21, 0.00, 1.45, 0.42
20:44:43.203,1066,912,1066,912, 0.27, 0.00, 1.61, 0.50
20:44:44.204,1083,898,1083,898, 0.36, 0.13, 1.93, 0.71
