timestamp,PAPI_L2_ICA,PAPI_L3_ICA,PAPI_L2_ICR,PAPI_L3_ICR,pp0-power,pp1-power,pkg-power,ram-power
20:45:6.916,725,650,725,650,11.62, 0.03,13.74, 1.55
20:45:7.916,781,662,781,662,11.63, 0.00,13.73, 1.54
20:45:8.918,648,539,648,539,11.72, 0.00,13.80, 1.48
20:45:9.918,671,576,671,576,11.71, 0.00,13.78, 1.48
20:45:10.919,661,569,661,569,11.76, 0.00,13.84, 1.47
20:45:11.919,714,590,714,590,11.87, 0.00,13.93, 1.48
20:45:12.920,637,547,637,547,11.82, 0.00,13.91, 1.49
20:45:13.920,613,529,613,529,11.80, 0.00,13.86, 1.48
20:45:14.921,664,556,664,556,11.83, 0.09,14.01, 1.57
20:45:15.921,662,572,662,572,11.77, 0.18,14.03, 1.54
