timestamp,PAPI_L2_TCA,PAPI_L3_TCA,PAPI_L2_TCR,pp0-power,pp1-power,pkg-power,ram-power
20:47:28.994,2291,2098,1170, 0.28, 0.03, 1.57, 0.44
20:47:29.994,2352,2181,1199, 0.21, 0.00, 1.45, 0.43
20:47:30.995,2353,2150,1196, 0.18, 0.00, 1.41, 0.42
20:47:31.996,2302,2175,1174, 0.22, 0.00, 1.46, 0.43
20:47:32.997,2345,2136,1191, 0.17, 0.00, 1.40, 0.41
20:47:33.998,2289,2129,1165, 0.21, 0.00, 1.45, 0.43
20:47:34.999,2379,2168,1212, 0.21, 0.00, 1.45, 0.42
20:47:35.0,2383,2164,1214, 0.22, 0.00, 1.47, 0.43
20:47:36.0,2303,2099,1174, 0.20, 0.00, 1.46, 0.43
20:47:37.0,2342,2163,1192, 0.24, 0.00, 1.49, 0.43
