timestamp,PAPI_L2_TCA,PAPI_L3_TCA,PAPI_L2_TCR,pp0-power,pp1-power,pkg-power,ram-power
20:48:6.372,1841,1874,952,11.68, 0.05,13.73, 1.53
20:48:7.372,1590,1745,831,11.23, 0.00,13.22, 1.48
20:48:8.372,1613,1688,841,11.70, 0.00,13.70, 1.49
20:48:9.373,1509,1699,788,11.63, 0.00,13.72, 1.51
20:48:10.373,1524,1635,796,11.65, 0.00,13.72, 1.50
20:48:11.374,1576,1580,824,11.77, 0.00,13.83, 1.49
20:48:12.374,2188,2261,1126,10.45, 0.00,12.51, 1.47
20:48:13.374,2149,2352,1108,10.65, 0.00,12.70, 1.45
20:48:14.375,1818,1768,946,11.65, 0.00,13.72, 1.48
20:48:15.375,1829,1756,947,11.79, 0.00,13.87, 1.50
