timestamp,PAPI_L3_TCR,PAPI_L2_TCW,PAPI_L3_TCW,pp0-power,pp1-power,pkg-power,ram-power
20:50:0.852,2082,10,32, 0.54, 0.03, 1.85, 0.50
20:50:1.853,2117,18,29, 0.21, 0.00, 1.43, 0.42
20:50:2.854,2079,24,28, 0.18, 0.00, 1.40, 0.42
20:50:3.855,2100,22,27, 0.19, 0.00, 1.45, 0.45
20:50:4.856,2091,22,29, 0.20, 0.00, 1.44, 0.42
20:50:5.857,2159,18,28, 0.19, 0.00, 1.44, 0.43
20:50:6.857,1634,22,26, 0.19, 0.00, 1.44, 0.45
20:50:7.858,2147,22,30, 0.21, 0.00, 1.46, 0.42
20:50:8.859,2143,18,28, 0.21, 0.00, 1.46, 0.44
20:50:9.860,2157,12,29, 0.18, 0.00, 1.43, 0.45
