timestamp,PAPI_L3_TCR,PAPI_L2_TCW,PAPI_L3_TCW,pp0-power,pp1-power,pkg-power,ram-power
20:50:34.602,1668,18,28,11.62, 0.03,13.69, 1.53
20:50:35.602,1784,22,25,11.52, 0.00,13.59, 1.52
20:50:36.602,1775,24,28,11.50, 0.00,13.58, 1.51
20:50:37.603,1737,12,31,11.63, 0.00,13.70, 1.51
20:50:38.603,2351,10,37,11.04, 0.00,13.09, 1.43
20:50:39.603,1752,32,18,11.77, 0.00,13.83, 1.45
20:50:40.604,2468,14,28,10.78, 0.00,12.78, 1.33
20:50:41.604,1884,14,31,11.08, 0.00,13.16, 1.49
20:50:42.605,2125,10,36,10.49, 0.00,12.54, 1.41
20:50:43.605,1880,22,30,11.16, 0.00,13.24, 1.51
