timestamp,PAPI_L1_DCM,PAPI_L1_ICM,PAPI_L2_DCM,PAPI_L2_ICM,PAPI_L1_TCM,PAPI_L2_TCM,pp0-power,pp1-power,pkg-power,ram-power
20:5:30.823,144,1079,1229,908,1223,2137, 0.31, 0.09, 1.69, 0.49
20:5:31.824,146,1054,1248,894,1200,2142, 0.20, 0.00, 1.47, 0.47
20:5:32.825,146,1067,1232,897,1213,2129, 0.81, 0.48, 2.73, 0.80
20:5:33.826,147,1072,1239,900,1219,2139, 0.45, 0.02, 1.77, 0.49
20:5:34.827,152,1077,1238,892,1229,2130, 0.34, 0.01, 1.62, 0.47
20:5:35.828,150,1131,1294,942,1281,2236, 0.25, 0.00, 1.52, 0.46
20:5:36.829,171,1085,1299,901,1256,2200, 0.23, 0.01, 1.50, 0.45
20:5:37.830,151,1092,1251,923,1243,2174, 0.27, 0.01, 1.55, 0.48
20:5:38.831,151,1064,1230,897,1215,2127, 0.36, 0.00, 1.63, 0.47
20:5:39.832,187,815,1063,649,1002,1712, 0.22, 0.00, 1.48, 0.44
