timestamp,PAPI_L1_DCM,PAPI_L1_ICM,PAPI_L2_DCM,PAPI_L2_ICM,PAPI_L1_TCM,PAPI_L2_TCM,pp0-power,pp1-power,pkg-power,ram-power
20:12:10.554,214,796,1243,692,1010,1935,11.39, 0.16,13.67, 1.69
20:12:11.554,225,794,1230,677,1019,1907,11.56, 0.01,13.64, 1.46
20:12:12.554,253,852,1212,684,1105,1896,11.57, 0.01,13.64, 1.47
20:12:13.554,262,764,1083,648,1026,1731,11.51, 0.02,13.62, 1.53
20:12:14.554,211,809,1171,668,1020,1839,10.88, 0.01,12.91, 1.39
20:12:15.555,225,796,1223,652,1021,1875,11.62, 0.01,13.71, 1.51
20:12:16.555,219,773,1231,655,992,1886,11.60, 0.01,13.68, 1.47
20:12:17.556,214,794,1141,674,1008,1815,11.57, 0.01,13.67, 1.51
20:12:18.557,212,779,1043,604,991,1647,11.64, 0.01,13.74, 1.51
20:12:19.557,208,751,1061,657,959,1718,11.60, 0.01,13.68, 1.48
