timestamp,PAPI_L3_TCM,PAPI_CA_SNP,PAPI_CA_SHR,PAPI_CA_CLN,pp0-power,pp1-power,pkg-power,ram-power
20:15:47.679,1314,2189,224,38, 0.33, 0.15, 1.89, 0.69
20:15:48.680,2106,2309,180,32, 0.52, 0.25, 2.16, 0.70
20:15:49.681,2156,2361,183,35, 0.19, 0.03, 1.48, 0.44
20:15:50.681,2063,2265,179,34, 0.20, 0.02, 1.47, 0.46
20:15:51.682,1538,2073,229,42, 0.17, 0.01, 1.44, 0.47
20:15:52.682,1612,1882,232,37, 0.21, 0.01, 1.47, 0.44
20:15:53.683,2012,2242,181,34, 0.22, 0.03, 1.51, 0.47
20:15:54.683,2108,2379,222,37, 0.46, 0.08, 1.90, 0.59
20:15:55.684,2110,2283,164,33, 0.42, 0.00, 1.71, 0.50
20:15:56.685,1993,2247,180,35, 0.52, 0.00, 1.78, 0.45
