timestamp,PAPI_L3_TCM,PAPI_CA_SNP,PAPI_CA_SHR,PAPI_CA_CLN,pp0-power,pp1-power,pkg-power,ram-power
20:16:25.295,1700,2022,241,34,11.37, 0.14,13.55, 1.68
20:16:26.295,1783,2032,223,36,10.97, 0.01,12.92, 1.36
20:16:27.295,1502,1611,191,30,10.64, 0.01,12.69, 1.43
20:16:28.296,1838,2262,269,40,10.80, 0.01,12.83, 1.35
20:16:29.296,1698,1883,245,34,11.57, 0.01,13.58, 1.35
20:16:30.296,1608,1879,226,37,11.64, 0.01,13.70, 1.44
20:16:31.296,1589,1725,207,35,10.90, 0.01,12.93, 1.36
20:16:32.297,1734,1898,221,35,11.84, 0.01,13.90, 1.48
20:16:33.297,1651,1828,215,34,11.57, 0.01,13.59, 1.35
20:16:34.297,1616,1810,237,32,11.65, 0.02,13.74, 1.45
