timestamp,PAPI_CA_ITV,PAPI_L3_LDM,pp0-power,pp1-power,pkg-power,ram-power
20:17:40.740,2255,44, 0.22, 0.00, 1.48, 0.44
20:17:41.741,2240,45, 0.20, 0.00, 1.43, 0.41
20:17:42.742,2191,43, 0.22, 0.00, 1.45, 0.42
20:17:43.742,2273,42, 0.17, 0.00, 1.40, 0.41
20:17:44.743,2212,49, 0.23, 0.00, 1.45, 0.41
20:17:45.744,2086,42, 0.50, 0.10, 2.02, 0.63
20:17:46.744,2207,41, 0.41, 0.12, 1.91, 0.61
20:17:47.744,2176,42, 0.41, 0.09, 1.84, 0.59
20:17:48.745,1797,11, 1.23, 1.14, 4.06, 1.19
20:17:49.746,2216,43, 0.54, 0.51, 2.61, 0.94
