timestamp,PAPI_CA_ITV,PAPI_L3_LDM,pp0-power,pp1-power,pkg-power,ram-power
20:18:9.528,1545,46,11.36, 0.05,13.41, 1.52
20:18:10.528,2148,30,10.88, 0.00,12.86, 1.40
20:18:11.528,1651,41, 9.65, 0.00,11.63, 1.29
20:18:12.528,1588,43,10.98, 0.00,13.05, 1.48
20:18:13.528,1717,42,11.07, 0.00,13.13, 1.50
20:18:14.529,2084,18,10.19, 0.20,12.43, 1.43
20:18:15.529,2099,26,10.91, 0.00,12.92, 1.33
20:18:16.529,1708,8,10.73, 0.00,12.72, 1.30
20:18:17.529,1855,25,11.83, 0.00,13.96, 1.62
20:18:18.529,1993,17,11.65, 0.00,13.71, 1.43
