timestamp,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_L1_LDM,pp0-power,pp1-power,pkg-power,ram-power
20:20:53.811,35,81,107, 0.94, 0.25, 2.62, 0.73
20:20:54.812,37,79,103, 0.93, 0.31, 2.75, 0.85
20:20:55.812,38,70,98, 0.85, 0.27, 2.59, 0.75
20:20:56.813,34,75,99, 0.22, 0.01, 1.51, 0.46
20:20:57.814,33,73,104, 0.18, 0.01, 1.44, 0.44
20:20:58.815,36,74,108, 0.24, 0.01, 1.50, 0.44
20:20:59.815,36,72,96, 0.21, 0.01, 1.46, 0.43
20:21:0.816,37,81,102, 0.23, 0.01, 1.48, 0.44
20:21:1.816,35,73,131, 0.18, 0.01, 1.43, 0.43
20:21:2.817,33,64,121, 0.22, 0.01, 1.47, 0.44
