timestamp,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_L1_LDM,pp0-power,pp1-power,pkg-power,ram-power
20:21:55.941,32,51,113,10.95, 0.04,12.98, 1.48
20:21:56.941,36,48,100,10.68, 0.00,12.65, 1.42
20:21:57.941,38,46,136, 9.44, 0.02,11.37, 1.29
20:21:58.941,37,58,123,11.09, 0.10,13.19, 1.56
20:21:59.941,38,56,130,11.49, 0.33,13.85, 1.74
20:22:0.942,39,49,123,10.43, 0.59,13.04, 1.59
20:22:1.942,38,49,112,11.23, 0.62,13.99, 1.98
20:22:2.942,35,51,115,10.69, 0.03,12.78, 1.49
20:22:3.942,35,51,137,11.04, 0.25,13.43, 1.79
20:22:4.942,38,53,120,11.80, 0.63,14.67, 2.12
