timestamp,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,pp0-power,pp1-power,pkg-power,ram-power
20:23:31.391,40,83,34, 0.33, 0.10, 1.80, 0.49
20:23:32.392,44,82,31, 0.29, 0.04, 1.69, 0.52
20:23:33.392,40,85,33, 0.46, 0.54, 2.72, 1.20
20:23:34.393,39,89,33, 0.21, 0.03, 1.58, 0.47
20:23:35.394,40,88,35, 0.25, 0.02, 1.60, 0.46
20:23:36.394,38,83,36, 0.18, 0.01, 1.52, 0.46
20:23:37.395,40,85,32, 1.86, 0.01, 3.33, 0.59
20:23:38.396,37,83,30, 0.22, 0.01, 1.55, 0.45
20:23:39.397,37,82,34, 0.21, 0.01, 1.55, 0.47
20:23:40.397,40,91,32, 0.20, 0.01, 1.52, 0.43
