timestamp,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,pp0-power,pp1-power,pkg-power,ram-power
20:24:18.633,35,72,27,11.48, 0.00,13.54, 1.43
20:24:19.633,36,68,27,11.67, 0.00,13.71, 1.41
20:24:20.634,36,65,28,11.33, 0.00,13.38, 1.42
20:24:21.634,36,66,28,11.71, 0.00,13.76, 1.42
20:24:22.635,40,72,29,11.71, 0.00,13.75, 1.43
20:24:23.636,35,74,28,11.58, 0.00,13.64, 1.46
20:24:24.636,38,64,30,11.63, 0.00,13.69, 1.46
20:24:25.636,39,67,28,11.71, 0.00,13.78, 1.45
20:24:26.636,37,75,28,11.80, 0.00,13.84, 1.41
20:24:27.636,36,74,29,11.77, 0.00,13.83, 1.43
