timestamp,PAPI_PRF_DM,PAPI_MEM_WCY,PAPI_STL_ICY,PAPI_STL_CCY,pp0-power,pp1-power,pkg-power,ram-power
20:26:37.517,205,6,3789,13648, 0.26, 0.02, 1.56, 0.49
20:26:38.518,191,23,16972,26459, 1.07, 0.00, 2.28, 0.41
20:26:39.518,183,18,3500,12408, 1.18, 0.00, 2.53, 0.56
20:26:40.519,182,34,3799,14412, 0.22, 0.00, 1.47, 0.45
20:26:41.519,155,0,8095,10593, 0.19, 0.00, 1.42, 0.42
20:26:42.520,140,0,10246,12769, 0.21, 0.00, 1.45, 0.44
20:26:43.520,138,0,15283,18071, 0.21, 0.00, 1.43, 0.44
20:26:44.520,141,0,10485,12959, 0.38, 0.00, 1.65, 0.46
20:26:45.521,150,0,15871,18729, 0.18, 0.00, 1.40, 0.42
20:26:46.522,193,23,6947,18168, 0.20, 0.00, 1.43, 0.44
