timestamp,PAPI_PRF_DM,PAPI_MEM_WCY,PAPI_STL_ICY,PAPI_STL_CCY,pp0-power,pp1-power,pkg-power,ram-power
20:27:27.170,200,103,36340,56662,11.13, 0.32,13.45, 1.56
20:27:28.170,192,29,17291,30922,11.09, 0.00,13.01, 1.32
20:27:29.170,190,41,19859,29703,11.33, 0.00,13.30, 1.38
20:27:30.170,239,29,17112,30379,11.47, 0.00,13.47, 1.47
20:27:31.171,195,20,17638,31449,11.57, 0.21,13.87, 1.76
20:27:32.171,208,15,17483,31631,11.68, 0.45,14.36, 2.07
20:27:33.171,194,23,18707,34235,11.63, 0.01,13.71, 1.45
20:27:34.171,214,178,33588,44608,11.65, 0.11,13.84, 1.59
20:27:35.171,206,214,19136,32384,11.73, 0.27,14.18, 1.91
20:27:36.172,199,35,44119,66545,11.79, 0.08,13.96, 1.56
