timestamp,PAPI_FUL_ICY,PAPI_FUL_CCY,pp0-power,pp1-power,pkg-power,ram-power
21:12:42.689,668,433, 0.63, 0.05, 2.05, 0.56
21:12:43.689,691,445, 0.49, 0.16, 2.06, 0.67
21:12:44.689,692,398, 0.83, 0.97, 3.45, 1.10
21:12:45.690,671,430, 0.60, 0.65, 2.80, 0.92
21:12:46.691,659,442, 0.46, 0.39, 2.32, 0.79
21:12:47.692,738,454, 0.19, 0.01, 1.44, 0.45
21:12:48.692,730,412, 0.48, 0.06, 1.87, 0.57
21:12:49.693,669,436, 0.96, 0.66, 3.18, 1.01
21:12:50.694,660,438, 0.28, 0.13, 1.73, 0.53
21:12:51.694,624,421, 0.24, 0.04, 1.57, 0.49
