timestamp,PAPI_FUL_ICY,PAPI_FUL_CCY,pp0-power,pp1-power,pkg-power,ram-power
21:13:9.836,520,410,10.14, 0.04,12.26, 1.55
21:13:10.836,601,424,10.84, 0.00,12.90, 1.49
21:13:11.836,463,446,11.81, 0.00,13.93, 1.61
21:13:12.836,536,412,11.76, 0.00,13.88, 1.60
21:13:13.836,524,432,11.53, 0.00,13.67, 1.67
21:13:14.836,563,414,11.70, 0.00,13.83, 1.66
21:13:15.837,581,414,11.73, 0.00,13.85, 1.61
21:13:16.837,491,414,11.67, 0.00,13.82, 1.64
21:13:17.837,537,407,11.62, 0.00,13.75, 1.66
21:13:18.837,547,416,11.60, 0.00,13.74, 1.65
