timestamp,PAPI_BR_UCN,PAPI_BR_CN,PAPI_BR_TKN,PAPI_BR_NTK,PAPI_BR_MSP,PAPI_BR_PRC,pp0-power,pp1-power,pkg-power,ram-power
20:30:5.675,176,397,161,236,109,288,11.44, 0.15,13.64, 1.70
20:30:6.676,176,397,161,236,112,285,11.54, 0.01,13.55, 1.47
20:30:7.676,176,397,161,236,126,271,11.54, 0.01,13.58, 1.49
20:30:8.676,176,397,161,236,116,281,11.56, 0.01,13.65, 1.47
20:30:9.677,176,397,161,236,114,283,11.56, 0.02,13.64, 1.49
20:30:10.677,176,397,161,236,115,282,11.63, 0.01,13.70, 1.47
20:30:11.678,176,397,161,236,112,285,11.59, 0.01,13.67, 1.50
20:30:12.678,176,397,161,236,110,287,11.62, 0.01,13.71, 1.50
20:30:13.678,176,397,161,236,121,276,11.61, 0.01,13.70, 1.51
20:30:14.678,176,397,161,236,107,290,11.56, 0.01,13.66, 1.52
