timestamp,PAPI_TOT_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_BR_INS,PAPI_RES_STL,PAPI_TOT_CYC,pp0-power,pp1-power,pkg-power,ram-power
20:33:39.313,2814,593,385,566,635,16188, 0.28, 0.05, 1.69, 0.52
20:33:40.313,2814,593,385,566,955,18711, 0.24, 0.00, 1.57, 0.44
20:33:41.314,2814,593,385,566,572,14489, 0.23, 0.00, 1.55, 0.45
20:33:42.314,2814,561,385,566,1126,17490, 0.19, 0.00, 1.50, 0.42
20:33:43.315,2815,586,385,567,1121,26561, 1.14, 0.00, 2.46, 0.44
20:33:44.316,2814,581,385,566,831,16153, 1.08, 0.00, 2.51, 0.58
20:33:45.317,2814,593,385,566,548,13958, 0.22, 0.00, 1.55, 0.43
20:33:46.317,2814,593,385,566,605,13970, 0.18, 0.00, 1.50, 0.43
20:33:47.318,2814,586,385,566,865,16001, 0.23, 0.00, 1.54, 0.45
20:33:48.318,2814,584,385,566,580,15692, 0.18, 0.00, 1.50, 0.43
