timestamp,PAPI_TOT_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_BR_INS,PAPI_RES_STL,PAPI_TOT_CYC,pp0-power,pp1-power,pkg-power,ram-power
20:34:27.207,2814,593,385,566,839,31772,11.42, 0.04,13.46, 1.54
20:34:28.207,2814,593,385,566,910,32438,11.59, 0.00,13.59, 1.45
20:34:29.208,2814,593,385,566,1269,34682,11.40, 0.00,13.45, 1.44
20:34:30.208,2814,593,385,566,4191,70292,11.54, 0.00,13.61, 1.49
20:34:31.208,2814,593,385,566,650,32695,11.54, 0.00,13.61, 1.48
20:34:32.209,2814,593,385,566,793,36300,11.38, 0.00,13.44, 1.46
20:34:33.209,2814,593,385,566,971,34089,11.55, 0.00,13.64, 1.50
20:34:34.209,2814,593,385,566,918,34106,11.77, 0.00,13.83, 1.44
20:34:35.209,2814,593,385,566,737,41444,11.64, 0.00,13.71, 1.49
20:34:36.209,2814,593,385,566,778,32252,11.63, 0.00,13.71, 1.51
